skill,skill_premium_niavereg,skill_premium_countryfes,skill_premium_workerfes,skill_premium_controls
market-research,0.00273348346360282,-0.00150863744955672,0.08130896556439635,0.01000028852846393
telemarketing,-0.26352270423087676,-0.15823366244716827,-2.6908478775120903,-0.2050763751624693
survey-monkey,0.7203139066463679,0.41419662533688206,3.8514190597446265,0.40428875588950103
microsoft-excel,-0.2247032476154007,-0.15605894503952714,-0.34052649187361994,-0.19315941773812303
bookkeeping,-0.20264231267847585,-0.11015924662024867,-1.224985974466873,-0.17762183503183593
salesforce.com,0.2879225071175446,0.2905571711088882,0.5932615514641135,0.2369698892580832
adobe-illustrator,0.00986641301583878,0.04120417562448343,-0.2034314459990809,0.03317339584749319
banner-design,-0.02578546188405806,0.01286527410594079,-1.206407181564764,0.00817098966380855
illustration,0.06550186901228318,0.0415681184713494,0.21710123241735713,0.07996647658898878
print-design,0.04025475065640135,0.04256196747853731,-0.13369886010207443,0.01905953909336471
print-layout-design,0.07721531666024103,0.06679660391399755,0.858304744643829,0.03938368972424745
web-design,-0.09126603550244627,-0.03276761445330782,0.05119088262886363,-0.06949042673796481
english,-0.06871397092815754,-0.1022075278839104,0.3973279874675998,-0.08569153078696828
manual-testing,-0.6142419168505417,-0.6286607934118744,-0.5413649429356859,-0.586517494344375
software-qa-testing,-0.4062203758062853,-0.3978782263734129,-1.2795213295844536,-0.3659753955253191
affiliate-marketing,0.17800646792185337,0.21957957266737357,3.10699691597086,0.23103932731346347
clickfunnels,0.28184136795557774,0.28347428620342285,3.103773957370423,0.238788945704788
infusionsoft-marketing,0.6119527058992009,0.3746794327243868,-2.166207435040102,0.37274712545872224
internet-marketing,-0.02561627409340066,-0.01098139176656505,-0.04019035184496861,-0.02544382169614822
lead-generation,-0.28348707403390794,-0.15008313626617664,-0.08445776788192326,-0.22087684492082568
marketing-strategy,0.11343517407890276,0.07971387857111305,-0.38127477379843344,0.08420177394012923
cartooning,0.02489148507047489,-0.06125494195981947,-0.7162622163886666,0.07185282291539728
comic-art,0.1853648647510449,0.09766096580948427,-3.283492081829762,0.096017460851012107
drawing,-0.02140534211897053,-0.09273321992511352,-1.1512511655594035,-0.02677126935732867
google-analytics,0.25012050979973915,0.1530669723851727,-0.20841523043172464,0.22508482069335173
google-website-optimizer,-0.2024705748942847,0.01838244581468567,-4.2791202496185825,-0.05331917219022712
wordpress,-0.16545445345745668,-0.08496380915343936,-0.3363516312173419,-0.14889325775592818
wordpress-plugin,-0.05030655254305345,0.04246731535574919,0.47249670690575973,-0.02975239820503211
regression-testing,-0.30134331023035926,-0.344726248909643,-1.8405544530861224,-0.2797383002908924
stata,0.5352480791413863,0.32839697839527965,-2.3233519006227907,0.33389901174591374
statistics,0.5825273935986579,0.307567842641897,3.71537509143174,0.40464388026904086
adobe-photoshop,-0.12764935124273386,-0.05010770898894767,-0.7555345157123589,-0.0779228075218921
brand-consulting,0.4915993733852324,0.3245636854036414,3.2708426796050523,0.311375319216675
graphic-design,0.033720399307731,0.06455630448786367,0.4745983342521485,0.04693406427110309
logo-design,-0.01133677886587755,0.04801319932681217,-0.0857544958673758,0.01529618368670577
ios-development,0.24696232511317823,0.19703685657384956,-0.9043822675588948,0.22456420571542648
iphone-app-development,0.22486235799820453,0.20060267041556304,2.3338782294137586,0.21338238266852017
matlab,0.4671706063105947,0.31847604678177727,-3.400001538865504,0.34868792550401373
simulink,0.38793422918542153,0.23198415998924393,5.381523286835093,0.1561949084619252
css,-0.03370846717183536,-0.01896688645220933,0.352173819171684,-0.01947657641037476
html,-0.04989050507843164,-0.01728691041388803,0.20741025863426324,-0.02921341565236254
mysql,0.01661664294394444,0.03897435483006544,0.7594152999459058,0.03693892002341216
php,-0.04241449178767665,0.0092795341698134,0.14544101751737412,-0.01360342559053027
website-development,-0.07928062290332041,-0.02449946819906052,0.5649130638115413,-0.07380779962140586
accounting,-0.17949006372075405,-0.1025719445929922,0.8063872356516515,-0.14674576774156198
accounts-payable-management,-0.18707176309293183,-0.1224765356907805,-2.287276383945171,-0.1854278229386611
accounts-receivable-management,-0.2531100224676845,-0.14199318719732437,-0.2301202399116764,-0.19967859849031433
bank-reconciliation,-0.33982874322627404,-0.15467990294411102,-1.4053243084249278,-0.2335101588959171
certified-public-accountant,0.3320293427945833,0.1563736008453206,1.8093670155903816,0.1801336432297445
cost-accounting,-0.13469013363159066,-0.03565827745434176,-0.08982105204295578,-0.09074561162455964
financial-accounting,-0.1384251592173215,-0.07123861512227012,-0.069650249435894,-0.09162117552922622
intuit-quickbooks,-0.2584342086839342,-0.15500957050421182,-0.1711360642204808,-0.22748510744371295
inventory-management,0.04374412515422183,0.05628098329511613,0.5753060286084607,0.05870342151669933
tax-preparation,0.2567508869560975,0.1233008510926868,-0.10668885369010606,0.10572056353901092
